Age,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
41,1,Travel_Rarely,Sales,2,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,Yes,3,1,0,8,1,6,4,5
49,0,Travel_Frequently,Research & Development,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,No,4,4,1,10,3,10,7,7
37,1,Travel_Rarely,Research & Development,2,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,Yes,3,2,0,7,3,0,0,0
33,0,Travel_Frequently,Research & Development,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,Yes,3,3,0,8,3,8,7,0
27,0,Travel_Rarely,Research & Development,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,No,3,4,1,6,3,2,2,2
32,0,Travel_Frequently,Research & Development,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,No,3,3,0,8,2,7,7,6
59,0,Travel_Rarely,Research & Development,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,Yes,4,1,3,12,2,1,0,0
30,0,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,No,4,2,1,1,3,1,0,0
38,0,Travel_Frequently,Research & Development,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,No,4,2,0,10,3,9,7,8
36,0,Travel_Rarely,Research & Development,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,5237,No,3,2,2,17,2,7,7,7
35,0,Travel_Rarely,Research & Development,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,No,3,3,1,6,3,5,4,3
29,0,Travel_Rarely,Research & Development,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,Yes,3,4,0,10,3,9,5,8
31,0,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,No,3,4,1,5,2,5,2,3
34,0,Travel_Rarely,Research & Development,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,No,3,3,1,3,3,2,2,2
28,1,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,Yes,3,2,0,6,3,4,2,3
29,0,Travel_Rarely,Research & Development,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,No,3,3,1,10,3,10,9,8
32,0,Travel_Rarely,Research & Development,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,Yes,3,4,2,7,2,6,2,5
22,0,Non-Travel,Research & Development,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,Yes,3,2,2,1,2,1,0,0
53,0,Travel_Rarely,Sales,4,Life Sciences,1,Female,2,4,Manager,4,Married,15427,No,3,3,0,31,3,25,8,7
38,0,Travel_Rarely,Research & Development,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,Yes,3,3,0,6,3,3,2,2
24,0,Non-Travel,Research & Development,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,No,3,4,1,5,2,4,2,3
36,1,Travel_Rarely,Sales,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,3407,No,4,2,0,10,3,5,3,3
34,0,Travel_Rarely,Research & Development,4,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,No,3,3,0,13,3,12,6,11
21,0,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,No,3,4,0,0,3,0,0,0
34,1,Travel_Rarely,Research & Development,1,Medical,2,Male,3,1,Research Scientist,1,Single,2960,No,3,3,0,8,3,4,2,3
53,0,Travel_Rarely,Research & Development,3,Other,3,Female,3,5,Manager,3,Divorced,19094,No,3,4,1,26,2,14,13,8
32,1,Travel_Frequently,Research & Development,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,3919,Yes,4,2,0,10,3,10,2,7
42,0,Travel_Rarely,Sales,4,Marketing,3,Male,3,2,Sales Executive,2,Married,6825,No,3,4,1,10,3,9,7,2
44,0,Travel_Rarely,Research & Development,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,10248,No,3,4,1,24,3,22,6,17
46,0,Travel_Rarely,Sales,4,Marketing,2,Female,3,5,Manager,1,Single,18947,No,3,4,0,22,2,2,2,1
33,0,Travel_Rarely,Research & Development,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,No,3,4,0,7,3,1,1,0
44,0,Travel_Rarely,Research & Development,4,Other,4,Male,3,2,Healthcare Representative,4,Married,6465,Yes,3,4,0,9,4,4,2,3
